Time,Height
27.00000000,0.594
27.01041667,0.591
27.02083333,0.588
27.03125000,0.584
27.04166667,0.584
27.05208334,0.582
27.06250000,0.579
27.07291667,0.576
27.08333334,0.573
27.09375000,0.567
27.10416667,0.566
27.11458334,0.568
27.12500000,0.572
27.13541667,0.566
27.14583334,0.574
27.15625001,0.572
27.16666667,0.566
27.17708334,0.575
27.18750001,0.576
27.19791667,0.561
27.20833334,0.546
27.21875001,0.544
27.22916667,0.539
27.23958334,0.541
27.25000001,0.545
27.26041668,0.546
27.27083334,0.552
27.28125001,0.554
27.29166668,0.551
27.30208334,0.549
27.31250001,0.548
27.32291668,0.546
27.33333334,0.544
27.34375001,0.540
27.35416668,0.536
27.36458335,0.535
27.37500001,0.530
27.38541668,0.528
27.39583335,0.529
27.40625001,0.524
27.41666668,0.527
27.42708335,0.524
27.43750001,0.518
27.44791668,0.523
27.45833335,0.547
27.46875002,0.540
27.47916668,0.572
27.48958335,0.588
27.50000002,0.602
27.51041668,0.594
27.52083335,0.598
27.53125002,0.598
27.54166668,0.583
27.55208335,0.572
27.56250002,0.565
27.57291669,0.552
27.58333335,0.532
27.59375002,0.517
27.60416669,0.502
27.61458335,0.503
27.62500002,0.518
27.63541669,0.507
27.64583335,0.511
27.65625002,0.532
27.66666669,0.539
27.67708336,0.551
27.68750002,0.556
27.69791669,0.561
27.70833336,0.581
27.71875002,0.584
27.72916669,0.593
27.73958336,0.597
27.75000002,0.612
27.76041669,0.626
27.77083336,0.648
27.78125003,0.667
27.79166669,0.697
27.80208336,0.735
27.81250003,0.785
27.82291669,0.846
27.83333336,0.909
27.84375003,0.991
27.85416669,1.076
27.86458336,1.175
27.87500003,1.258
27.88541670,1.362
27.89583336,1.453
27.90625003,1.571
27.91666670,1.658
27.92708336,1.748
27.93750003,1.845
27.94791670,1.916
27.95833336,1.993
27.96875003,2.090
27.97916670,2.163
27.98958337,2.225
28.00000003,2.288
28.01041670,2.343
28.02083337,2.405
28.03125003,2.472
28.04166670,2.520
28.05208337,2.565
28.06250003,2.621
28.07291670,2.653
28.08333337,2.712
28.09375004,2.749
28.10416670,2.775
28.11458337,2.835
28.12500004,2.886
28.13541670,2.927
28.14583337,2.964
28.15625004,3.006
28.16666670,3.040
28.17708337,3.072
28.18750004,3.116
28.19791671,3.137
28.20833337,3.168
28.21875004,3.166
28.22916671,3.197
28.23958337,3.219
28.25000004,3.230
28.26041671,3.253
28.27083337,3.274
28.28125004,3.293
28.29166671,3.312
28.30208338,3.301
28.31250004,3.330
28.32291671,3.338
28.33333338,3.330
28.34375004,3.349
28.35416671,3.341
28.36458338,3.364
28.37500004,3.356
28.38541671,3.364
28.39583338,3.360
28.40625005,3.352
28.41666671,3.358
28.42708338,3.358
28.43750005,3.365
28.44791671,3.364
28.45833338,3.354
28.46875005,3.351
28.47916671,3.354
28.48958338,3.339
28.50000005,3.349
28.51041672,3.362
28.52083338,3.348
28.53125005,3.337
28.54166672,3.353
28.55208338,3.343
28.56250005,3.340
28.57291672,3.334
28.58333338,3.330
28.59375005,3.328
28.60416672,3.314
28.61458339,3.303
28.62500005,3.294
28.63541672,3.286
28.64583339,3.288
28.65625005,3.274
28.66666672,3.257
28.67708339,3.252
28.68750005,3.245
28.69791672,3.237
28.70833339,3.233
28.71875006,3.207
28.72916672,3.186
28.73958339,3.158
28.75000006,3.131
28.76041672,3.088
28.77083339,3.046
28.78125006,3.003
28.79166672,2.959
28.80208339,2.915
28.81250006,2.878
28.82291673,2.837
28.83333339,2.808
28.84375006,2.772
28.85416673,2.739
28.86458339,2.715
28.87500006,2.680
28.88541673,2.650
28.89583339,2.615
28.90625006,2.594
28.91666673,2.558
28.92708340,2.529
28.93750006,2.509
28.94791673,2.479
28.95833340,2.446
28.96875006,2.419
28.97916673,2.423
28.98958340,2.398
29.00000006,2.363
29.01041673,2.355
29.02083340,2.340
29.03125007,2.324
29.04166673,2.319
29.05208340,2.290
29.06250007,2.274
29.07291673,2.266
29.08333340,2.249
29.09375007,2.241
29.10416673,2.225
29.11458340,2.208
29.12500007,2.185
29.13541674,2.180
29.14583340,2.157
29.15625007,2.140
29.16666674,2.124
29.17708340,2.110
29.18750007,2.081
29.19791674,2.061
29.20833340,2.040
29.21875007,2.049
29.22916674,2.035
29.23958341,2.005
29.25000007,1.967
29.26041674,1.941
29.27083341,1.917
29.28125007,1.892
29.29166674,1.865
29.30208341,1.838
29.31250007,1.816
29.32291674,1.795
29.33333341,1.773
29.34375008,1.768
29.35416674,1.750
29.36458341,1.737
29.37500008,1.727
29.38541674,1.708
29.39583341,1.715
29.40625008,1.701
29.41666674,1.696
29.42708341,1.692
29.43750008,1.681
29.44791675,1.688
29.45833341,1.695
29.46875008,1.692
29.47916675,1.701
29.48958341,1.697
29.50000008,1.718
29.51041675,1.713
29.52083341,1.719
29.53125008,1.719
29.54166675,1.720
29.55208342,1.718
29.56250008,1.717
29.57291675,1.721
29.58333342,1.714
29.59375008,1.711
29.60416675,1.704
29.61458342,1.703
29.62500008,1.688
29.63541675,1.692
29.64583342,1.673
29.65625009,1.664
29.66666675,1.657
29.67708342,1.642
29.68750009,1.640
29.69791675,1.622
29.70833342,1.628
29.71875009,1.634
29.72916675,1.649
29.73958342,1.638
29.75000009,1.648
29.76041676,1.618
29.77083342,1.600
29.78125009,1.576
29.79166676,1.539
29.80208342,1.498
29.81250009,1.459
29.82291676,1.427
29.83333342,1.392
29.84375009,1.359
29.85416676,1.344
29.86458343,1.319
29.87500009,1.302
29.88541676,1.291
29.89583343,1.277
29.90625009,1.257
29.91666676,1.259
29.92708343,1.239
29.93750009,1.227
29.94791676,1.221
29.95833343,1.197
29.96875010,1.181
29.97916676,1.174
29.98958343,1.163
